,Date,visitor_neutral,PTS,home_neutral,PTS
0,2019-11-05,Michigan State,62,Kentucky,69
1,2019-11-05,Kansas,66,Duke,68
2,2019-11-05,Louisville,87,Miami (FL),74
3,2019-11-05,North Florida,59,Florida,74
4,2019-11-05,Holy Cross,71,Maryland,95
5,2019-11-05,Alabama State,64,Gonzaga,95
6,2019-11-05,Army,54,Villanova,97
7,2019-11-05,Wagner,71,Seton Hall,105
8,2019-11-05,Eastern Illinois,60,Texas Tech,85
9,2019-11-05,South Carolina State,64,Memphis,97
10,2019-11-05,Fresno State,57,Oregon,71
11,2019-11-05,Central Arkansas,61,Baylor,105
12,2019-11-05,Montana State,73,Utah State,81
13,2019-11-05,Jacksonville,57,Xavier,76
14,2019-11-05,Saint Mary's,65,Wisconsin,63
15,2019-11-05,Georgia Southern,74,Auburn,83
16,2019-11-05,Saint Francis (PA),58,VCU,72
17,2019-11-05,Alabama A&M,66,Tennessee State,106
18,2019-11-05,Alcorn State,54,DePaul,72
19,2019-11-05,American,80,Siena,96
20,2019-11-05,Appalachian State,71,Michigan,79
21,2019-11-05,Little Rock,67,Missouri State,66
22,2019-11-05,Arkansas-Pine Bluff,41,South Florida,70
23,2019-11-05,Arlington Baptist,39,Abilene Christian,90
24,2019-11-05,Avila,49,UMKC,102
25,2019-11-05,Bethesda University (CA),66,Southern Utah,110
26,2019-11-05,Binghamton,64,Cornell,84
27,2019-11-05,Bradley,81,St. Joseph's,86
28,2019-11-05,Bridgewater (VA),51,Delaware,97
29,2019-11-05,Brown,73,Bryant,71
30,2019-11-05,Bucknell,68,Fairfield,64
31,2019-11-05,Cal State Fullerton,58,BYU,76
32,2019-11-05,Cal State Northridge,67,Oregon State,87
33,2019-11-05,Cal State Stanislaus,47,Pacific,69
34,2019-11-05,UC-Davis,48,Loyola (IL),82
35,2019-11-05,UC-Irvine,76,San Diego,73
36,2019-11-05,UC-Riverside,66,Nebraska,47
37,2019-11-05,UC-Santa Cruz,52,Santa Clara,97
38,2019-11-05,Campbell,75,Coastal Carolina,74
39,2019-11-05,Centenary (LA),57,Northwestern State,84
40,2019-11-05,Central State (OH),77,Wright State,96
41,2019-11-05,Champion Christian,40,Lamar,86
42,2019-11-05,Chattanooga,68,Eastern Kentucky,79
43,2019-11-05,Cincinnati-Clermont,55,Northern Kentucky,105
44,2019-11-05,Cleveland State,50,Minnesota,85
45,2019-11-05,Columbia,63,Lafayette,65
46,2019-11-05,Columbia International,71,Charleston Southern,99
47,2019-11-05,Concordia (WI),62,Milwaukee,72
48,2019-11-05,Curry,29,New Hampshire,93
49,2019-11-05,Davenport,82,Grand Canyon,73
50,2019-11-05,Defiance,43,Ball State,87
51,2019-11-05,Delta State,71,Southern Miss,90
52,2019-11-05,Denver,63,Colorado State,74
53,2019-11-05,Drexel,62,Temple,70
54,2019-11-05,Erskine,63,Wofford,86
55,2019-11-05,Evergreen State,82,Idaho,88
56,2019-11-05,Fairleigh Dickinson-Florham,52,Fairleigh Dickinson,101
57,2019-11-05,Flagler,81,Florida Atlantic,92
58,2019-11-05,Florida A&M,48,USC,77
59,2019-11-05,Florida Gulf Coast,67,Saint Louis,89
60,2019-11-05,Florida International,69,Mississippi State,77
61,2019-11-05,Furman,70,Gardner-Webb,63
62,2019-11-05,George Washington,58,Towson,72
63,2019-11-05,Georgia Tech,82,NC State,81
64,2019-11-05,Goshen,66,Oakland,94
65,2019-11-05,Greensboro,59,Norfolk State,100
66,2019-11-05,Hartford,74,Central Connecticut,59
67,2019-11-05,Houston Baptist,72,Tulsa,80
68,2019-11-05,Idaho State,40,Wyoming,54
69,2019-11-05,Illinois Wesleyan,48,Southern Illinois,76
70,2019-11-05,Purdue-Fort Wayne,71,UNLV,86
71,2019-11-05,Jackson State,70,California Baptist,93
72,2019-11-05,Jacksonville State,65,SMU,74
73,2019-11-05,Jarvis Christian,62,Prairie View,100
74,2019-11-05,Johnson & Wales (NC),83,UNC Wilmington,103
75,2019-11-05,Judson,60,Chicago State,103
76,2019-11-05,Kennesaw State,55,Creighton,81
77,2019-11-05,Life Pacific,49,Boise State,126
78,2019-11-05,LIU,65,Rhode Island,76
79,2019-11-05,Louisiana College,41,Louisiana-Monroe,64
80,2019-11-05,Loyola (LA),67,Louisiana,95
81,2019-11-05,Loyola (MD),53,Marquette,88
82,2019-11-05,Malone,64,Akron,81
83,2019-11-05,Mars Hill,84,Elon,90
84,2019-11-05,Maryland-Eastern Shore,46,Penn State,84
85,2019-11-05,Marymount (VA),51,Longwood,73
86,2019-11-05,Maryville (TN),61,Middle Tennessee,119
87,2019-11-05,MIT,27,Harvard,84
88,2019-11-05,UMass-Lowell,64,UMass,79
89,2019-11-05,Michigan-Dearborn,62,Central Michigan,102
90,2019-11-05,Mississippi Valley State,74,Iowa State,110
91,2019-11-05,Monmouth,66,Lehigh,62
92,2019-11-05,Navy,55,George Mason,68
93,2019-11-05,Omaha,54,Wichita State,68
94,2019-11-05,New Mexico Highlands,70,UTEP,93
95,2019-11-05,Nicholls State,70,Illinois,78
96,2019-11-05,UNC Asheville,63,Tennessee,78
97,2019-11-05,North Carolina A&T,50,UNC Greensboro,83
98,2019-11-05,North Dakota State,54,Kansas State,67
99,2019-11-05,Northeastern,72,Boston University,67
100,2019-11-05,Northern Colorado,45,Texas,69
101,2019-11-05,Notre Dame de Namur,51,Cal State Bakersfield,103
102,2019-11-05,Oakland City,67,Austin Peay,110
103,2019-11-05,Ohio,65,St. Bonaventure,53
104,2019-11-05,Oklahoma Christian,40,North Texas,79
105,2019-11-05,Old Dominion,53,Northern Iowa,58
106,2019-11-05,Olivet Nazarene,72,UIC,75
