,,Overall,Overall,Overall,Overall,Overall,Overall,Conf.,Conf.,Home,Home,Away,Away,Points,Points,,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals
Rk,School,G,W,L,W-L%,SRS,SOS,W,L,W,L,W,L,Tm.,Opp.,,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,Abilene Christian,23,13,10,.565,-2.90,-5.05,8,4,10,2,3,8,1733,1472,,935,602,1366,.441,163,524,.311,366,496,.738,262,791,344,212,60,328,485
2,Air Force,25,9,16,.360,-0.53,2.88,3,10,6,6,3,7,1838,1863,,1000,618,1358,.455,215,574,.375,387,519,.746,178,810,354,124,39,305,424
3,Akron,24,18,6,.750,7.97,-0.53,8,3,12,2,5,3,1823,1569,,960,618,1390,.445,229,604,.379,358,461,.777,236,896,329,117,68,320,421
4,Alabama A&M,22,6,16,.273,-18.22,-8.27,3,8,4,3,2,12,1390,1609,,885,499,1310,.381,121,434,.279,271,388,.698,217,757,238,132,44,258,387
5,Alabama-Birmingham,25,14,11,.560,-1.42,-0.95,5,7,8,6,4,5,1641,1607,,1000,604,1346,.449,130,407,.319,303,439,.690,268,923,253,139,73,368,409
6,Alabama State,24,7,17,.292,-15.15,-4.90,6,5,3,1,2,13,1482,1728,,960,520,1314,.396,161,510,.316,281,449,.626,206,760,249,138,43,374,466
7,Alabama,23,13,10,.565,12.28,7.85,5,5,8,3,3,5,1900,1798,,935,644,1446,.445,234,672,.348,378,533,.709,255,930,321,147,108,361,459
8,Albany (NY),24,13,11,.542,-6.71,-6.27,6,3,7,4,4,7,1642,1626,,965,551,1317,.418,194,568,.342,346,486,.712,193,836,318,133,67,334,408
9,Alcorn State,22,10,12,.455,-14.23,-7.12,6,5,7,1,3,11,1679,1622,,885,593,1385,.428,203,546,.372,290,389,.746,265,831,304,183,67,312,399
10,American,23,12,11,.522,-5.83,-5.83,8,4,7,3,5,8,1641,1641,,925,605,1337,.453,164,480,.342,267,376,.710,201,748,297,168,79,287,404
11,Appalachian State,25,14,11,.560,0.07,0.28,8,6,8,3,5,7,1715,1661,,1005,598,1368,.437,166,525,.316,353,538,.656,253,899,291,183,58,342,389
