,Date,visitor_neutral,PTS,home_neutral,PTS
0,2020-11-25,Villanova,76,Boston College,67
1,2020-11-25,Towson,54,Virginia,89
2,2020-11-25,North Carolina Central,67,Iowa,97
3,2020-11-25,Eastern Illinois,67,Wisconsin,77
4,2020-11-25,North Carolina A&T,60,Illinois,122
5,2020-11-25,Morehead State,45,Kentucky,81
6,2020-11-25,Eastern Michigan,67,Michigan State,83
7,2020-11-25,Northwestern State,58,Texas Tech,101
8,2020-11-25,South Dakota State,71,West Virginia,79
9,2020-11-25,College of Charleston,60,UNC,79
10,2020-11-25,Lamar,45,Houston,89
11,2020-11-25,Arizona State,94,Rhode Island,88
12,2020-11-25,Texas-Rio Grande Valley,55,Texas,91
13,2020-11-25,UCLA,58,San Diego State,73
14,2020-11-25,Illinois State,67,Ohio State,94
15,2020-11-25,Sacred Heart,63,Rutgers,86
16,2020-11-25,Bowling Green State,82,Michigan,96
17,2020-11-25,Adams State,60,Weber State,88
18,2020-11-25,Alcorn State,50,Alabama-Birmingham,99
19,2020-11-25,Appalachian State,81,South Carolina State,61
20,2020-11-25,Arkansas-Pine Bluff,57,Marquette,99
21,2020-11-25,Austin Peay,72,Omaha,66
22,2020-11-25,Ball State,73,Northern Kentucky,74
23,2020-11-25,Bethesda University (CA),57,Sacramento State,101
24,2020-11-25,California,63,Oregon State,71
25,2020-11-25,California Baptist,87,USC,95
26,2020-11-25,UC-Davis,93,Nicholls State,101
27,2020-11-25,UC-Irvine,72,Pepperdine,86
28,2020-11-25,UC-Riverside,60,Pacific,66
29,2020-11-25,Carver College,40,Kennesaw State,87
30,2020-11-25,Central Connecticut,75,UConn,102
31,2020-11-25,Charleston Southern,61,NC State,95
32,2020-11-25,Clemson,53,Mississippi State,42
33,2020-11-25,Coastal Georgia,57,Jacksonville,99
34,2020-11-25,Culver-Stockton,35,UMKC,105
35,2020-11-25,Dallas Christian,48,Tarleton State,103
36,2020-11-25,Delaware State,51,Wake Forest,111
37,2020-11-25,Drake,80,Kansas State,70
38,2020-11-25,ETSU,47,Abilene Christian,70
39,2020-11-25,Eastern Kentucky,80,North Florida,67
40,2020-11-25,Evansville,44,Louisville,79
41,2020-11-25,Fairfield,56,Providence,97
42,2020-11-25,Fairleigh Dickinson,66,Quinnipiac,84
43,2020-11-25,Flagler,81,Florida International,85
44,2020-11-25,Florida A&M,56,Florida Gulf Coast,65
45,2020-11-25,Florida Atlantic,66,South Alabama,68
46,2020-11-25,Florida College,84,South Florida,94
47,2020-11-25,Florida National University,65,Georgia Southern,97
48,2020-11-25,George Washington,71,Navy,78
49,2020-11-25,Georgia State,123,Georgia Tech,120
50,2020-11-25,Grambling,53,Grand Canyon,69
51,2020-11-25,Green Bay,69,Minnesota,99
52,2020-11-25,High Point,73,Davidson,82
53,2020-11-25,Houston Baptist,45,TCU,69
54,2020-11-25,Idaho State,49,Santa Clara,62
55,2020-11-25,UIC,65,Northern Illinois,61
56,2020-11-25,Jacksonville State,57,Alabama,81
57,2020-11-25,Keene State,54,New Hampshire,93
58,2020-11-25,Lander,63,Chattanooga,99
59,2020-11-25,Liberty,64,Purdue,77
60,2020-11-25,Limestone,55,James Madison,89
61,2020-11-25,Mary Hardin-Baylor,59,Texas State,98
62,2020-11-25,UMBC,62,Georgetown,70
63,2020-11-25,UMass-Lowell,76,San Francisco,68
64,2020-11-25,McNeese State,55,Nebraska,102
65,2020-11-25,Memphis,73,Saint Mary's,56
66,2020-11-25,Merchant Marine Academy,32,Army,93
67,2020-11-25,Mississippi Valley State,62,Arkansas,142
68,2020-11-25,Montana State,91,UNLV,78
69,2020-11-25,Mount St. Mary's,62,Morgan State,55
70,2020-11-25,North Carolina Wesleyan,52,Elon,82
71,2020-11-25,UNC Wilmington,76,Western Carolina,98
72,2020-11-25,North Dakota,67,Miami (OH),81
73,2020-11-25,North Dakota State,48,Nevada,62
74,2020-11-25,North Georgia,48,Mercer,79
75,2020-11-25,Oakland,49,Xavier,101
76,2020-11-25,Oakwood,74,North Alabama,98
77,2020-11-25,Ohio,84,Chicago State,61
78,2020-11-25,Oklahoma State,75,Texas-Arlington,68
79,2020-11-25,Old Dominion,67,Maryland,85
80,2020-11-25,Oral Roberts,64,Missouri,91
81,2020-11-25,Piedmont,64,Citadel,89
82,2020-11-25,Prairie View,66,Little Rock,71
83,2020-11-25,Radford,62,Virginia Tech,77
84,2020-11-25,Saint Francis (PA),80,Pitt,70
85,2020-11-25,St. Peter's,75,St. John's (NY),76
86,2020-11-25,Sam Houston State,67,SMU,97
87,2020-11-25,Seattle,84,Portland,72
88,2020-11-25,South Dakota,61,Colorado,84
89,2020-11-25,Southeastern Louisiana,63,Purdue-Fort Wayne,67
90,2020-11-25,SIU-Edwardsville,52,Saint Louis,89
91,2020-11-25,Southern Utah,83,Loyola Marymount,85
92,2020-11-25,Southern Wesleyan,82,USC Upstate,72
93,2020-11-25,St. Andrews,63,VMI,90
94,2020-11-25,Tennessee Tech,59,Indiana,89
95,2020-11-25,Texas A&M-International,53,Texas A&M-Corpus Christi,64
96,2020-11-25,Texas-Permian Basin,81,UTEP,100
97,2020-11-25,Texas Southern,52,Washington State,56
98,2020-11-25,Toccoa Falls,49,Wofford,88
99,2020-11-25,Toledo,59,Bradley,61
100,2020-11-25,Tusculum,62,Furman,95
101,2020-11-25,VCU,85,Utah State,69
102,2020-11-25,Western Kentucky,93,Northern Iowa,87
103,2020-11-25,Western Michigan,62,Butler,66
104,2020-11-25,Westminster (UT),59,BYU,108
105,2020-11-25,Westmont,79,Cal State Northridge,97
106,2020-11-25,William Jessup,47,Fresno State,87
0,2020-11-26,Kansas,90,Gonzaga,102
1,2020-11-26,Villanova,83,Arizona State,74
2,2020-11-26,Chicago State,38,Illinois,97
3,2020-11-26,VCU,66,West Virginia,78
4,2020-11-26,Adams State,75,Utah Valley,100
