,Date,Home,Away,Line
0,2020-11-25 11:00:00,Abilene Christian,East Tennessee St.,-7
1,2020-11-25 11:30:00,South Florida,Florida College,
2,2020-11-25 12:00:00,James Madison,Limestone,
3,2020-11-25 12:00:00,Virginia Tech,Radford,-19
4,2020-11-25 12:00:00,Morgan St.,Mount St. Mary's,1.5
5,2020-11-25 12:00:00,Xavier,Oakland,-15.5
6,2020-11-25 12:00:00,Navy,George Washington,-1.5
7,2020-11-25 12:00:00,Nebraska,McNeese St.,-13
8,2020-11-25 13:00:00,Miami (OH),North Dakota,-6.5
9,2020-11-25 13:00:00,Mercer,North Georgia,
10,2020-11-25 13:00:00,New Hampshire,Keene State,
11,2020-11-25 13:00:00,Georgia Southern,Florida National,
12,2020-11-25 13:00:00,Little Rock,Prairie View A&M,-14
13,2020-11-25 13:30:00,Virginia,Towson,-18
14,2020-11-25 14:00:00,Ohio St.,Illinois St.,-19
15,2020-11-25 14:00:00,South Carolina Upstate,Southern Wesleyan,
16,2020-11-25 14:00:00,Chattanooga,Lander,
17,2020-11-25 14:00:00,Nebraska Omaha,Austin Peay,6.5
18,2020-11-25 14:00:00,South Carolina State,Appalachian St.,16.5
19,2020-11-25 14:00:00,Maryland,Old Dominion,-9.5
20,2020-11-25 14:00:00,Providence,Fairfield,-18
21,2020-11-25 14:00:00,Kansas State,Drake,-4.5
22,2020-11-25 14:00:00,Illinois,North Carolina A&T,-29.5
23,2020-11-25 14:00:00,Saint Mary's,Memphis,5
24,2020-11-25 15:00:00,The Citadel,Piedmont,
25,2020-11-25 15:00:00,Houston,Lamar,-22.5
26,2020-11-25 15:00:00,Bradley,Toledo,-3
27,2020-11-25 15:00:00,Nevada,North Dakota State,-3.5
28,2020-11-25 15:30:00,UAB,Alcorn St.,-19
29,2020-11-25 16:00:00,Kennesaw St.,Carver Bible College,
30,2020-11-25 16:00:00,Western Carolina,UNC Wilmington,-4.5
31,2020-11-25 16:00:00,Texas-Arlington,Oklahoma State,10.5
32,2020-11-25 16:00:00,Michigan,Bowling Green,-13.5
33,2020-11-25 16:00:00,Wake Forest,Delaware State,-23.5
34,2020-11-25 16:00:00,Georgetown,UMBC,-12.5
35,2020-11-25 16:00:00,San Francisco,Massachusetts Lowell,-15.5
36,2020-11-25 16:00:00,Iowa,North Carolina Central,-28.5
37,2020-11-25 16:00:00,Kansas City,Culver-Stockton,
38,2020-11-25 16:00:00,Furman,Tusculum,
39,2020-11-25 16:00:00,Louisville,Evansville,-21
40,2020-11-25 16:30:00,Quinnipiac,Fairleigh Dickinson,2.5
41,2020-11-25 16:30:00,Northern Iowa,Western Kentucky,3
42,2020-11-25 17:00:00,Chicago St.,Ohio,21
43,2020-11-25 17:00:00,Pacific,UC Riverside,-6
44,2020-11-25 17:30:00,Purdue,Liberty,-9.5
45,2020-11-25 17:30:00,North Florida,Eastern Kentucky,-1.5
46,2020-11-25 18:00:00,Fresno St.,William Jessup,
47,2020-11-25 18:00:00,North Carolina,Charleston,-17.5
48,2020-11-25 18:00:00,Butler,Western Michigan,-18.5
49,2020-11-25 18:00:00,Kentucky,Morehead St.,-25
50,2020-11-25 18:00:00,Wofford,Toccoa Falls,
51,2020-11-25 18:00:00,Michigan St,Eastern Michigan,-22
52,2020-11-25 18:00:00,Northern Kentucky,Ball St.,1
53,2020-11-25 18:30:00,Army,Merchant Marine Academy,
54,2020-11-25 18:30:00,North Alabama,Oakwood,
55,2020-11-25 18:30:00,Pepperdine,UC Irvine,-3
56,2020-11-25 19:00:00,Davidson,High Point,-18.5
57,2020-11-25 19:00:00,Texas State,Mary Hardin-Baylor,
58,2020-11-25 19:00:00,Purdue Fort Wayne,Southeastern Louisiana,-10
59,2020-11-25 19:00:00,VMI,St. Andrews,
60,2020-11-25 19:00:00,South Alabama,Florida Atlantic,-4.5
61,2020-11-25 19:00:00,Pittsburgh,St. Francis (PA),-16
62,2020-11-25 19:00:00,Elon University,North Carolina Wesleyan,
63,2020-11-25 19:00:00,St. John's,Saint Peter's,-10.5
64,2020-11-25 19:00:00,Florida Gulf Coast,Florida A&M,-6
65,2020-11-25 19:00:00,Santa Clara,Idaho State,-11.5
66,2020-11-25 19:00:00,Missouri,Oral Roberts,-14.5
67,2020-11-25 19:00:00,Rutgers,Sacred Heart,-27
68,2020-11-25 19:00:00,Texas Tech,Northwestern St.,-26.5
69,2020-11-25 19:00:00,Northern Illinois,Illinois-Chicago,-2
70,2020-11-25 19:00:00,West Virginia,South Dakota State,-11
71,2020-11-25 19:00:00,Rhode Island,Arizona State,6.5
72,2020-11-25 19:00:00,Saint Louis,SIU Edwardsville,-24
73,2020-11-25 19:00:00,Texas-El Paso,Texas-Permian Basin,
74,2020-11-25 19:00:00,CSU Northridge,Westmont,
75,2020-11-25 19:00:00,Jacksonville,Coastal Georgia,
76,2020-11-25 19:00:00,Minnesota,Green Bay,-19
77,2020-11-25 19:00:00,Oregon St.,California,-2
78,2020-11-25 19:00:00,Florida International,Flagler College,
79,2020-11-25 19:30:00,Arkansas,Mississippi Valley State,-39
80,2020-11-25 20:00:00,Alabama,Jacksonville St.,-20.5
81,2020-11-25 20:00:00,Indiana,Tennessee Tech,-25.5
82,2020-11-25 20:00:00,Texas Christian,Houston Baptist,-29.5
83,2020-11-25 20:00:00,Texas,Texas Rio Grande Valley,-21
84,2020-11-25 20:00:00,NC State,Charleston Southern,-18.5
85,2020-11-25 20:00:00,Colorado,South Dakota,-17
86,2020-11-25 20:00:00,Brigham Young,Westminster (UT),
87,2020-11-25 20:00:00,Loyola Marymount,Southern Utah,-5
88,2020-11-25 20:00:00,Southern Methodist,Sam Houston St.,-17
89,2020-11-25 20:00:00,Mississippi State,Clemson,4.5
90,2020-11-25 20:00:00,Tarleton State,Dallas Christian,
91,2020-11-25 20:00:00,Connecticut,Central Conn. St.,-26.5
92,2020-11-25 20:30:00,Texas A&M-CC,Texas A&M-International,
93,2020-11-25 21:00:00,Grand Canyon,Grambling State,-13.5
94,2020-11-25 21:00:00,Georgia Tech,Georgia St.,-8.5
95,2020-11-25 21:00:00,Southern California,California Baptist,-19
96,2020-11-25 21:00:00,Weber St.,Adams St.,
97,2020-11-25 21:30:00,Boston College,Villanova,15
98,2020-11-25 21:30:00,Utah St.,VCU,-2.5
99,2020-11-25 21:30:00,UNLV,Montana St.,-12
100,2020-11-25 22:00:00,Nicholls State,UC Davis,3
101,2020-11-25 22:00:00,Wisconsin,Eastern Illinois,-21.5
102,2020-11-25 22:00:00,Marquette,Arkansas-Pine Bluff,-31.5
103,2020-11-25 22:05:00,Sacramento State,Bethesda,
104,2020-11-25 22:30:00,San Diego St.,UCLA,3
105,2020-11-25 23:00:00,Washington St.,Texas Southern,-10.5
106,2020-11-25 23:00:00,Portland,Seattle,-3
107,2020-11-25 24:59:59,Robert Morris,Point Park,
108,2020-11-25 13:00:00,Penn St.,Drexel,-14
109,2020-11-25 20:00:00,Oklahoma,Texas-San Antonio,-18.5
110,2020-11-25 20:00:00,Duke,Gardner-Webb,
111,2020-11-25 21:00:00,Oregon,Eastern Washington,
0,2020-11-26 11:00:00,Middle Tennessee St.,Nebraska Omaha,-2
1,2020-11-26 12:00:00,Xavier,Bradley,-10
2,2020-11-26 12:00:00,Illinois,Chicago St.,-42.5
3,2020-11-26 12:00:00,Memphis,Western Kentucky,-4
4,2020-11-26 13:30:00,Gonzaga,Kansas,-4
5,2020-11-26 14:00:00,St. John's,La Salle,-8
6,2020-11-26 14:00:00,Nebraska,Nevada,-5
7,2020-11-26 14:00:00,Austin Peay,East Tennessee St.,-9
8,2020-11-26 14:30:00,West Virginia,VCU,-10.5
9,2020-11-26 15:00:00,North Carolina A&T,Ohio,13.5
10,2020-11-26 15:00:00,Oakland,Toledo,11
11,2020-11-26 15:30:00,San Francisco,Towson,-8
12,2020-11-26 16:00:00,Southern,North Carolina Central,-2
13,2020-11-26 16:30:00,Saint Joseph's,Auburn,7
14,2020-11-26 17:00:00,Saint Mary's,Northern Iowa,2.5
15,2020-11-26 17:00:00,Howard,Belmont,14.5
16,2020-11-26 18:00:00,Mississippi State,Liberty,-4.5
