Date,Visitor/Neutral,PTS,Home/Neutral,PTS,OT,Notes
Fri Dec 6 2019,Iowa,91,Michigan,103,,
Sat Dec 7 2019,Illinois,58,Maryland,59,,
Sat Dec 7 2019,Penn State,74,Ohio State,106,,
Sat Dec 7 2019,Indiana,64,Wisconsin,84,,
Sun Dec 8 2019,Rutgers,65,Michigan State,77,,
Sun Dec 8 2019,Northwestern,44,Purdue,58,,
Mon Dec 9 2019,Minnesota,52,Iowa,72,,
Tue Dec 10 2019,Maryland,69,Penn State,76,,
Wed Dec 11 2019,Michigan,62,Illinois,71,,
Wed Dec 11 2019,Wisconsin,65,Rutgers,72,,
Fri Dec 13 2019,Nebraska,90,Indiana,96,OT,
Sun Dec 15 2019,Ohio State,71,Minnesota,84,,
Sun Dec 15 2019,Purdue,56,Nebraska,70,,
Wed Dec 18 2019,Michigan State,77,Northwestern,72,,
Thu Jan 2 2020,Illinois,56,Michigan State,76,,
Thu Jan 2 2020,Minnesota,78,Purdue,83,2OT,
Fri Jan 3 2020,Rutgers,79,Nebraska,62,,
Fri Jan 3 2020,Wisconsin,61,Ohio State,57,,
Sat Jan 4 2020,Indiana,59,Maryland,75,,
Sat Jan 4 2020,Iowa,86,Penn State,89,,
Sun Jan 5 2020,Purdue,37,Illinois,63,,
Sun Jan 5 2020,Michigan,69,Michigan State,87,,
Sun Jan 5 2020,Northwestern,68,Minnesota,77,,
Tue Jan 7 2020,Ohio State,55,Maryland,67,,
Tue Jan 7 2020,Iowa,70,Nebraska,76,,
Tue Jan 7 2020,Penn State,61,Rutgers,72,,
Wed Jan 8 2020,Northwestern,62,Indiana,66,,
Wed Jan 8 2020,Illinois,71,Wisconsin,70,,
Thu Jan 9 2020,Purdue,78,Michigan,84,2OT,
Thu Jan 9 2020,Minnesota,58,Michigan State,74,,
Fri Jan 10 2020,Maryland,49,Iowa,67,,
Sat Jan 11 2020,Rutgers,51,Illinois,54,,
Sat Jan 11 2020,Ohio State,54,Indiana,66,,
Sat Jan 11 2020,Nebraska,57,Northwestern,62,,
Sat Jan 11 2020,Wisconsin,58,Penn State,49,,
Sun Jan 12 2020,Michigan,67,Minnesota,75,,
Sun Jan 12 2020,Michigan State,42,Purdue,71,,
Tue Jan 14 2020,Iowa,75,Northwestern,62,,
Tue Jan 14 2020,Nebraska,68,Ohio State,80,,
Tue Jan 14 2020,Maryland,54,Wisconsin,56,,
Wed Jan 15 2020,Penn State,69,Minnesota,75,,
Wed Jan 15 2020,Indiana,50,Rutgers,59,,
Fri Jan 17 2020,Michigan,83,Iowa,90,,
Fri Jan 17 2020,Wisconsin,55,Michigan State,67,,
Sat Jan 18 2020,Northwestern,71,Illinois,75,,
Sat Jan 18 2020,Purdue,50,Maryland,57,,
Sat Jan 18 2020,Indiana,82,Nebraska,74,,
Sat Jan 18 2020,Ohio State,76,Penn State,90,,
Sun Jan 19 2020,Minnesota,56,Rutgers,64,,
Tue Jan 21 2020,Maryland,77,Northwestern,66,,
Tue Jan 21 2020,Illinois,79,Purdue,62,,
Tue Jan 21 2020,Nebraska,68,Wisconsin,82,,
Wed Jan 22 2020,Rutgers,80,Iowa,85,,
Wed Jan 22 2020,Penn State,72,Michigan,63,,
Thu Jan 23 2020,Michigan State,63,Indiana,67,,
Thu Jan 23 2020,Minnesota,62,Ohio State,59,,
Fri Jan 24 2020,Wisconsin,51,Purdue,70,,
Sat Jan 25 2020,Illinois,64,Michigan,62,,
Sat Jan 25 2020,Nebraska,72,Rutgers,75,,
Sun Jan 26 2020,Maryland,77,Indiana,76,,
Sun Jan 26 2020,Michigan State,70,Minnesota,52,,
Sun Jan 26 2020,Ohio State,71,Northwestern,59,,
Mon Jan 27 2020,Wisconsin,62,Iowa,68,,
Tue Jan 28 2020,Michigan,79,Nebraska,68,,
Tue Jan 28 2020,Purdue,63,Rutgers,70,,
